Id,Answer
747,-1
748,0
749,0
750,-1
751,1
752,1
753,-1
754,0
755,-1
756,0
757,1
758,1
759,-1
760,0
761,0
762,1
763,0
764,-1
765,0
766,1
767,0
768,1
769,1
770,1
771,0
772,0
773,-1
774,0
775,-1
776,-1
777,-1
778,-1
779,0
780,-1
781,-1
782,-1
783,-1
784,0
785,1
786,0
787,1
788,1
789,1
790,0
791,-1
792,0
793,1
794,-1
795,-1
796,-1
797,-1
798,0
799,1
800,-1
801,1
802,-1
803,1
804,0
805,1
806,0
807,1
808,0
809,1
810,0
811,-1
812,-1
813,1
814,0
815,-1
816,1
817,1
818,1
819,1
820,0
821,0
822,-1
823,1
824,0
825,1
826,-1
827,0
828,-1
829,1
830,-1
831,1
832,1
833,1
834,-1
835,1
836,0
837,0
838,-1
839,0
840,-1
841,1
842,-1
843,0
844,1
845,-1
846,1
847,1
848,0
849,0
850,0
851,0
852,-1
853,-1
854,1
855,-1
856,0
857,-1
858,0
859,1
860,-1
861,-1
862,0
863,1
864,0
865,1
866,0
867,1
868,0
869,0
870,1
871,-1
872,1
873,1
874,1
875,-1
876,1
877,-1
878,-1
879,-1
880,0
881,-1
882,-1
883,-1
884,1
885,-1
886,0
887,0
888,0
889,1
890,0
891,1
892,1
893,1
894,0
895,-1
896,-1
897,1
898,0
899,1
900,0
901,0
902,-1
903,0
904,0
905,-1
906,1
907,1
908,0
909,0
910,0
911,-1
912,0
913,-1
914,-1
915,-1
916,1
917,-1
918,1
919,-1
920,0
921,-1
922,-1
923,-1
924,-1
925,-1
926,-1
927,-1
928,0
929,1
930,0
931,1
932,-1
933,1
934,0
935,0
936,0
937,-1
938,-1
939,0
940,1
941,1
942,0
943,1
944,-1
945,1
946,0
947,1
948,0
949,1
950,0
951,1
952,-1
953,0
954,1
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,-1
963,1
964,0
965,1
966,1
967,-1
968,1
969,0
970,0
971,0
972,1
973,0
974,0
975,1
976,1
977,1
978,-1
979,-1
980,1
981,-1
982,0
983,-1
984,0
985,1
986,-1
987,-1
988,-1
989,0
990,-1
991,1
992,0
993,0
994,1
995,-1
996,0
997,1
998,1
999,1
1000,0
1001,-1
1002,1
1003,0
1004,1
1005,0
1006,-1
1007,1
1008,1
1009,1
1010,1
1011,-1
1012,1
1013,0
1014,-1
1015,-1
1016,0
1017,1
1018,1
1019,0
1020,-1
1021,1
1022,0
1023,1
1024,1
1025,-1
1026,0
1027,1
1028,-1
1029,0
1030,1
1031,1
1032,0
1033,0
1034,-1
1035,1
1036,0
1037,0
1038,0
1039,-1
1040,1
1041,1
1042,1
1043,-1
1044,0
1045,0
1046,0
1047,-1
1048,0
1049,-1
1050,0
1051,1
1052,1
1053,1
1054,-1
1055,-1
1056,1
1057,0
1058,1
1059,0
1060,-1
1061,1
1062,-1
1063,-1
1064,0
1065,-1
1066,1
1067,1
1068,1
1069,0
1070,0
1071,0
1072,1
1073,1
1074,-1
1075,0
1076,-1
1077,1
1078,0
1079,1
1080,1
1081,0
1082,-1
1083,0
1084,1
1085,0
1086,1
1087,1
1088,0
1089,0
1090,1
1091,0
1092,1
1093,-1
1094,-1
1095,-1
1096,0
1097,1
1098,-1
1099,1
1100,0
1101,1
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,-1
1110,0
1111,1
1112,0
1113,-1
1114,1
1115,-1
1116,0
1117,-1
1118,1
1119,0
1120,-1
1121,0
1122,-1
1123,0
1124,0
1125,0
1126,1
1127,1
1128,0
1129,1
1130,0
1131,0
1132,-1
1133,1
1134,-1
1135,-1
1136,1
1137,0
1138,1
1139,1
1140,-1
1141,0
1142,-1
1143,-1
1144,-1
1145,1
1146,-1
1147,1
1148,0
1149,-1
1150,-1
1151,0
1152,-1
1153,1
1154,-1
1155,-1
1156,1
1157,-1
1158,1
1159,-1
1160,1
1161,1
1162,0
1163,0
1164,-1
1165,0
1166,1
1167,-1
1168,0
1169,0
1170,-1
1171,1
1172,-1
1173,-1
1174,0
1175,-1
1176,1
1177,0
1178,-1
1179,0
1180,-1
1181,0
1182,0
1183,-1
1184,1
1185,1
1186,1
1187,-1
1188,-1
1189,-1
1190,1
1191,1
1192,1
1193,-1
1194,1
1195,0
1196,0
1197,1
1198,0
1199,-1
1200,-1
1201,1
1202,0
1203,-1
1204,1
1205,0
1206,1
1207,0
1208,1
1209,-1
1210,-1
1211,0
1212,1
1213,-1
1214,-1
1215,-1
1216,-1
1217,-1
1218,1
1219,1
1220,0
1221,1
1222,0
1223,-1
